"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16525-71345","SF","Mindaugas","Kuzminskas","0","0","4000","NY@HOU","NY","HOU","","","",""
"16525-24244","SF","Cleanthony","Early","4.247058644014246","17","4000","NY@HOU","NY","HOU","","","",""
"16525-15582","SG","Quinn","Cook","0","0","4000","IND@NO","NO","IND","","","",""
"16525-42689","PG","Tyler","Ennis","9.695652173913043","46","4000","NY@HOU","HOU","NY","","","",""
"16525-9725","SF","C.J.","Miles","17.9921875","64","4000","IND@NO","IND","NO","","","",""
"16525-23282","SF","Sam","Dekker","1.0666666825612385","3","4000","NY@HOU","HOU","NY","","","",""
"16525-12423","C","Omer","Asik","12.22941140567555","68","4000","IND@NO","NO","IND","","","",""
"16525-73911","SF","Shawn","Dawson","0","0","4000","IND@NO","NO","IND","","","",""
"16525-9940","PF","Dante","Cunningham","12.396250152587891","80","4000","IND@NO","NO","IND","","","",""
"16525-17230","SG","Langston","Galloway","17.29390214129192","82","4000","IND@NO","NO","IND","","","",""
"16525-23826","PF","Alex","Poythress","0","0","4000","IND@NO","IND","NO","","","",""
"16525-22727","SG","Ron","Baker","0","0","4000","NY@HOU","NY","HOU","","","",""
